Native form	Prefixed form	URI	Destination URL	Outgoing URI	Entity Type
GTEX-13QIC	GTEX-13QIC		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13QIC		individual_organism
GTEX-13QJ3	GTEX-13QJ3		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13QJ3		individual_organism
GTEX-13QJC	GTEX-13QJC		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13QJC		individual_organism
GTEX-13RTJ	GTEX-13RTJ		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13RTJ		individual_organism
GTEX-13RTK	GTEX-13RTK		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13RTK		individual_organism
GTEX-13RTL	GTEX-13RTL		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13RTL		individual_organism
GTEX-13S7M	GTEX-13S7M		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13S7M		individual_organism
GTEX-13S86	GTEX-13S86		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13S86		individual_organism
GTEX-13SLW	GTEX-13SLW		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13SLW		individual_organism
GTEX-13SLX	GTEX-13SLX		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13SLX		individual_organism
GTEX-13U4I	GTEX-13U4I		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13U4I		individual_organism
GTEX-13VXT	GTEX-13VXT		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13VXT		individual_organism
