Native form	Prefixed form	URI	Destination URL	Outgoing URI	Entity Type
GTEX-111YS-2126-SM-5EGGM	GTEX-111YS-2126-SM-5EGGM		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-2126-SM-5EGGM		biosample
GTEX-111YS-2226-SM-5987P	GTEX-111YS-2226-SM-5987P		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-2226-SM-5987P		biosample
GTEX-111YS-2326-SM-5987L	GTEX-111YS-2326-SM-5987L		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-2326-SM-5987L		biosample
GTEX-111YS-2426-SM-5GZZQ	GTEX-111YS-2426-SM-5GZZQ		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-2426-SM-5GZZQ		biosample
GTEX-1122O-0003-SM-5Q5DL	GTEX-1122O-0003-SM-5Q5DL		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-0003-SM-5Q5DL		biosample
GTEX-1122O-0005-SM-5O99J	GTEX-1122O-0005-SM-5O99J		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-0005-SM-5O99J		biosample
GTEX-1122O-0008-SM-5QGR2	GTEX-1122O-0008-SM-5QGR2		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-0008-SM-5QGR2		biosample
GTEX-1122O-0126-SM-5GICA	GTEX-1122O-0126-SM-5GICA		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-0126-SM-5GICA		biosample
GTEX-1122O-0226-SM-5N9DA	GTEX-1122O-0226-SM-5N9DA		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-0226-SM-5N9DA		biosample
GTEX-1122O-0326-SM-5H124	GTEX-1122O-0326-SM-5H124		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-0326-SM-5H124		biosample
GTEX-1122O-0426-SM-5H12G	GTEX-1122O-0426-SM-5H12G		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-0426-SM-5H12G		biosample
GTEX-1122O-0526-SM-5N9DM	GTEX-1122O-0526-SM-5N9DM		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-0526-SM-5N9DM		biosample
GTEX-1122O-0626-SM-5N9B9	GTEX-1122O-0626-SM-5N9B9		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-0626-SM-5N9B9		biosample
GTEX-1122O-0726-SM-5GIEV	GTEX-1122O-0726-SM-5GIEV		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-0726-SM-5GIEV		biosample
GTEX-1122O-0826-SM-5GICV	GTEX-1122O-0826-SM-5GICV		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-0826-SM-5GICV		biosample
GTEX-1122O-0926-SM-5N9C9	GTEX-1122O-0926-SM-5N9C9		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-0926-SM-5N9C9		biosample
GTEX-1122O-1126-SM-5NQ8X	GTEX-1122O-1126-SM-5NQ8X		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-1126-SM-5NQ8X		biosample
GTEX-1122O-1226-SM-5H113	GTEX-1122O-1226-SM-5H113		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-1226-SM-5H113		biosample
GTEX-1122O-1326-SM-5H11F	GTEX-1122O-1326-SM-5H11F		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-1326-SM-5H11F		biosample
GTEX-1122O-1426-SM-5H11R	GTEX-1122O-1426-SM-5H11R		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-1426-SM-5H11R		biosample
GTEX-1122O-1526-SM-5N9CL	GTEX-1122O-1526-SM-5N9CL		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-1526-SM-5N9CL		biosample
GTEX-1122O-1626-SM-5N9CX	GTEX-1122O-1626-SM-5N9CX		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-1626-SM-5N9CX		biosample
GTEX-1122O-1726-SM-5GICM	GTEX-1122O-1726-SM-5GICM		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-1122O-1726-SM-5GICM		biosample
